timeseries;label
1675429824578_2000;0
1675429836578_2000;0
1675429848578_2000;0
1675429860578_2000;0
1675429872578_2000;0
1675429884578_2000;0
1675429896578_2000;0
1675429908578_2000;0
1675429920578_2000;0
1675429932578_2000;0
1675429944578_2000;0
1675429956578_2000;0
1675429968578_2000;0
1675429980578_2000;0
1675429992578_2000;0
1675430004578_2000;0
1675430016578_2000;0
1675430028578_2000;0
1675430040578_3000;0
1675430052578_3000;0
1675430064578_3000;0
1675430076578_3000;0
1675430088578_3000;0
1675430100578_3000;0
1675430112578_3000;0
1675430124578_3000;0
1675430136578_3000;0
1675430148578_3000;0
1675430160578_3000;0
1675430172578_3000;0
1675430184578_3000;0
1675430196578_3000;0
1675430208578_3000;0
1675430220578_3000;0
1675430232578_3000;0
1675430244578_3000;0
1675430256578_4000;0
1675430268578_4000;0
1675430280578_4000;0
1675430292578_4000;0
1675430304578_4000;0
1675430316578_4000;0
1675430328578_4000;0
1675430340578_4000;0
1675430352578_4000;0
1675430364578_4000;0
1675430376578_4000;0
1675430388578_4000;0
1675430400578_4000;0
1675430412578_4000;0
1675430424578_4000;0
1675430436578_4000;0
1675430448578_4000;0
1675430460578_4000;0
1675430472578_5000;0
1675430484578_5000;0
1675430496578_5000;0
1675430508578_5000;0
1675430520578_5000;0
1675430532578_5000;0
1675430544578_5000;0
1675430556578_5000;0
1675430568578_5000;0
1675430580578_5000;0
1675430592578_5000;0
1675430604578_5000;0
1675430616578_5000;0
1675430628578_5000;0
1675430640578_5000;0
1675430652578_5000;0
1675430664578_5000;0
1675430676578_5000;0
1675430688578_6000;0
1675430700578_6000;0
1675430712578_6000;0
1675430724578_6000;0
1675430736578_6000;0
1675430748578_6000;0
1675430760578_6000;0
1675430772578_6000;0
1675430784578_6000;0
1675430796578_6000;0
1675430808578_6000;0
1675430820578_6000;0
1675430832578_6000;0
1675430844578_6000;0
1675430856578_6000;0
1675430868578_6000;0
1675430880578_6000;0
1675430892578_6000;0
1675430904578_7000;0
1675430916578_7000;0
1675430928578_7000;0
1675430940578_7000;0
1675430952578_7000;0
1675430964578_7000;0
1675430976578_7000;0
1675430988578_7000;0
1675431000578_7000;0
1675431012578_7000;0
1675431024578_7000;0
1675431036578_7000;0
1675431048578_7000;0
1675431060578_7000;0
1675431072578_7000;0
1675431084578_7000;0
1675431096578_7000;0
1675431108578_7000;0
1675431120578_8000;0
1675431132578_8000;0
1675431144578_8000;0
1675431156578_8000;0
1675431168578_8000;0
1675431180578_8000;0
1675431192578_8000;0
1675431204578_8000;0
1675431216578_8000;0
1675431228578_8000;0
1675431240578_8000;0
1675431252578_8000;0
1675431264578_8000;0
1675431276578_8000;0
1675431288578_8000;0
1675431300578_8000;0
1675431312578_8000;0
1675431324578_8000;0
1675431336578_8500;0
1675431348578_8500;0
1675431360578_8500;0
1675431372578_8500;0
1675431384578_8500;0
1675431396578_8500;0
1675431408578_8500;0
1675431420578_8500;0
1675431432578_8500;0
1675431444578_8500;0
1675431456578_8500;0
1675431468578_8500;0
1675431480578_8500;0
1675431492578_8500;0
1675431504578_8500;0
1675431516578_8500;0
1675431528578_8500;0
1675431540578_8500;0
1675431552578_5000;1
1675431564578_5000;1
1675431576578_5000;1
1675431588578_5000;1
1675431600578_5000;1
1675431612578_5000;1
1675431624578_5000;1
1675431636578_5000;1
1675431648578_5000;1
1675431660578_5000;1
1675431672578_5000;1
1675431684578_5000;1
1675431696578_5000;1
1675431708578_5000;1
1675431720578_5000;1
1675431732578_5000;1
1675431744578_5000;1
1675431756578_5000;1
1675431768578_6000;1
1675431780578_6000;1
1675431792578_6000;1
1675431804578_6000;1
1675431816578_6000;1
1675431828578_6000;1
1675431840578_6000;1
1675431852578_6000;1
1675431864578_6000;1
1675431876578_6000;1
1675431888578_6000;1
1675431900578_6000;1
1675431912578_6000;1
1675431924578_6000;1
1675431936578_6000;1
1675431948578_6000;1
1675431960578_6000;1
1675431972578_6000;1
1675431984578_7000;1
1675431996578_7000;1
1675432008578_7000;1
1675432020578_7000;1
1675432032578_7000;1
1675432044578_7000;1
1675432056578_7000;1
1675432068578_7000;1
1675432080578_7000;1
1675432092578_7000;1
1675432104578_7000;1
1675432116578_7000;1
1675432128578_7000;1
1675432140578_7000;1
1675432152578_7000;1
1675432164578_7000;1
1675432176578_7000;1
1675432188578_7000;1
1675432200578_8000;1
1675432212578_8000;1
1675432224578_8000;1
1675432236578_8000;1
1675432248578_8000;1
1675432260578_8000;1
1675432272578_8000;1
1675432284578_8000;1
1675432296578_8000;1
1675432308578_8000;1
1675432320578_8000;1
1675432332578_8000;1
1675432344578_8000;1
1675432356578_8000;1
1675432368578_8000;1
1675432380578_8000;1
1675432392578_8000;1
1675432404578_8000;1
1675432416578_8500;1
1675432428578_8500;1
1675432440578_8500;1
1675432452578_8500;1
1675432464578_8500;1
1675432476578_8500;1
1675432488578_8500;1
1675432500578_8500;1
1675432512578_8500;1
1675432524578_8500;1
1675432536578_8500;1
1675432548578_8500;1
1675432560578_8500;1
1675432572578_8500;1
1675432584578_8500;1
1675432596578_8500;1
1675432608578_8500;1
1675432620578_8500;1
