timeseries;label
1675429724000_2000;0
1675429736000_2000;0
1675429748000_2000;0
1675429760000_2000;0
1675429772000_2000;0
1675429784000_2000;0
1675429796000_2000;0
1675429808000_2000;0
1675429820000_2000;0
1675429832000_2000;0
1675429844000_2000;0
1675429856000_2000;0
1675429880000_3000;0
1675429892000_3000;0
1675429904000_3000;0
1675429916000_3000;0
1675429928000_3000;0
1675429940000_3000;0
1675429952000_3000;0
1675429964000_3000;0
1675429976000_3000;0
1675429988000_3000;0
1675430000000_3000;0
1675430024000_3000;0
1675430036000_4000;0
1675430048000_4000;0
1675430060000_4000;0
1675430072000_4000;0
1675430084000_4000;0
1675430096000_4000;0
1675430108000_4000;0
1675430120000_4000;0
1675430132000_4000;0
1675430144000_4000;0
1675430156000_4000;0
1675430180000_4000;0
1675430192000_5000;0
1675430204000_5000;0
1675430216000_5000;0
1675430228000_5000;0
1675430240000_5000;0
1675430252000_5000;0
1675430264000_5000;0
1675430276000_5000;0
1675430288000_5000;0
1675430300000_5000;0
1675430324000_5000;0
1675430336000_5000;0
1675430348000_6000;0
1675430360000_6000;0
1675430372000_6000;0
1675430384000_6000;0
1675430396000_6000;0
1675430408000_6000;0
1675430420000_6000;0
1675430432000_6000;0
1675430444000_6000;0
1675430456000_6000;0
1675430480000_6000;0
1675430492000_6000;0
1675430504000_7000;0
1675430516000_7000;0
1675430528000_7000;0
1675430540000_7000;0
1675430552000_7000;0
1675430564000_7000;0
1675430576000_7000;0
1675430588000_7000;0
1675430600000_7000;0
1675430624000_7000;0
1675430636000_7000;0
1675430648000_7000;0
1675430660000_8000;0
1675430672000_8000;0
1675430684000_8000;0
1675430696000_8000;0
1675430708000_8000;0
1675430720000_8000;0
1675430732000_8000;0
1675430744000_8000;0
1675430756000_8000;0
1675430780000_8000;0
1675430792000_8000;0
1675430804000_8000;0
1675430816000_8500;0
1675430828000_8500;0
1675430840000_8500;0
1675430852000_8500;0
1675430864000_8500;0
1675430876000_8500;0
1675430888000_8500;0
1675430900000_8500;0
1675430924000_8500;0
1675430936000_8500;0
1675430948000_8500;0
1675430960000_8500;0
1675430972000_5000;1
1675430984000_5000;1
1675430996000_5000;1
1675431008000_5000;1
1675431020000_5000;1
1675431032000_5000;1
1675431044000_5000;1
1675431056000_5000;1
1675431080000_5000;1
1675431092000_5000;1
1675431104000_5000;1
1675431116000_5000;1
1675431128000_6000;1
1675431140000_6000;1
1675431152000_6000;1
1675431164000_6000;1
1675431176000_6000;1
1675431188000_6000;1
1675431200000_6000;1
1675431224000_6000;1
1675431236000_6000;1
1675431248000_6000;1
1675431260000_6000;1
1675431272000_6000;1
1675431284000_7000;1
1675431296000_7000;1
1675431308000_7000;1
1675431320000_7000;1
1675431332000_7000;1
1675431344000_7000;1
1675431356000_7000;1
1675431380000_7000;1
1675431392000_7000;1
1675431404000_7000;1
1675431416000_7000;1
1675431428000_7000;1
1675431440000_8000;1
1675431452000_8000;1
1675431464000_8000;1
1675431476000_8000;1
1675431488000_8000;1
1675431500000_8000;1
1675431524000_8000;1
1675431536000_8000;1
1675431548000_8000;1
1675431560000_8000;1
1675431572000_8000;1
1675431584000_8000;1
1675431596000_8500;1
1675431608000_8500;1
1675431620000_8500;1
1675431632000_8500;1
1675431644000_8500;1
1675431656000_8500;1
1675431680000_8500;1
1675431692000_8500;1
1675431704000_8500;1
1675431716000_8500;1
1675431728000_8500;1
1675431740000_8500;1
